timestamp,ip,user,status
2026-01-03 12:00:01,192.168.1.10,admin,FAIL
2026-01-03 12:00:05,192.168.1.10,admin,FAIL
2026-01-03 12:00:10,192.168.1.10,admin,FAIL
2026-01-05 18:20:34,10.0.0.8,user1,FAIL
2026-01-05 18:20:41,10.0.0.15,user1,SUCCESS
2026-01-05 18:20:48,10.0.0.15,user1,FAIL
2026-01-05 18:20:52,10.0.0.8,user1,SUCCESS
2026-01-05 18:20:57,192.168.1.20,user2,SUCCESS
2026-01-05 18:21:00,172.16.0.5,user1,FAIL
2026-01-05 18:21:05,10.0.0.8,test,FAIL
2026-01-05 18:21:13,10.0.0.8,user2,FAIL
2026-01-05 18:21:21,192.168.1.20,guest,FAIL
2026-01-05 18:21:25,192.168.1.10,test,FAIL
2026-01-05 18:21:31,192.168.1.10,root,FAIL
2026-01-05 18:21:37,172.16.0.5,test,FAIL
2026-01-05 18:21:42,192.168.1.10,test,FAIL
2026-01-05 18:21:47,192.168.1.10,guest,SUCCESS
2026-01-05 18:21:55,10.0.0.8,user2,FAIL
2026-01-05 18:21:57,10.0.0.15,root,FAIL
2026-01-05 18:22:05,192.168.1.20,user2,SUCCESS
2026-01-05 18:22:07,192.168.1.20,root,FAIL
2026-01-05 18:22:11,10.0.0.8,test,FAIL
2026-01-05 18:22:16,172.16.0.5,test,FAIL
2026-01-05 18:22:21,10.0.0.15,user2,FAIL
2026-01-05 18:22:27,10.0.0.15,admin,FAIL
2026-01-05 18:22:30,10.0.0.8,test,FAIL
2026-01-05 18:22:36,172.16.0.5,test,FAIL
2026-01-05 18:22:43,192.168.1.20,admin,FAIL
2026-01-05 18:22:51,172.16.0.5,user1,FAIL
2026-01-05 18:22:59,192.168.1.10,user2,FAIL
2026-01-05 18:23:05,10.0.0.8,admin,FAIL
2026-01-05 18:23:12,192.168.1.10,test,FAIL
2026-01-05 18:23:17,10.0.0.8,root,FAIL
2026-01-05 18:23:23,10.0.0.8,test,FAIL
2026-01-05 18:23:26,10.0.0.8,root,FAIL
2026-01-05 18:23:33,10.0.0.15,user2,FAIL
2026-01-05 18:23:40,172.16.0.5,user1,SUCCESS
2026-01-05 18:23:43,10.0.0.15,test,FAIL
2026-01-05 18:23:47,10.0.0.15,root,FAIL
2026-01-05 18:23:54,192.168.1.10,user1,FAIL
2026-01-05 18:24:02,10.0.0.8,root,FAIL
2026-01-05 18:24:04,10.0.0.8,test,FAIL
2026-01-05 18:24:06,10.0.0.15,user1,SUCCESS
2026-01-05 18:24:11,10.0.0.15,root,SUCCESS
2026-01-05 18:24:14,10.0.0.15,user1,FAIL
2026-01-05 18:24:22,192.168.1.10,admin,FAIL
2026-01-05 18:24:30,10.0.0.8,admin,SUCCESS
2026-01-05 18:24:33,10.0.0.15,user2,FAIL
2026-01-05 18:24:36,10.0.0.8,test,SUCCESS
2026-01-05 18:24:39,10.0.0.8,user1,FAIL
2026-01-05 18:24:44,192.168.1.10,test,FAIL
2026-01-05 18:24:46,172.16.0.5,user1,FAIL
2026-01-05 18:24:54,172.16.0.5,user1,FAIL
2026-01-05 18:25:01,10.0.0.8,user1,FAIL
2026-01-05 18:25:06,172.16.0.5,admin,FAIL
2026-01-05 18:25:09,10.0.0.15,admin,SUCCESS
2026-01-05 18:25:11,10.0.0.15,admin,FAIL
2026-01-05 18:25:16,10.0.0.15,user1,FAIL
2026-01-05 18:25:22,10.0.0.15,test,FAIL
2026-01-05 18:25:24,192.168.1.20,test,FAIL
2026-01-05 18:25:31,10.0.0.8,user2,FAIL
2026-01-05 18:25:33,10.0.0.8,guest,FAIL
2026-01-05 18:25:39,192.168.1.20,guest,SUCCESS
2026-01-05 18:25:45,10.0.0.15,user2,SUCCESS
2026-01-05 18:25:51,172.16.0.5,user2,FAIL
2026-01-05 18:25:56,10.0.0.15,user2,SUCCESS
2026-01-05 18:26:00,10.0.0.8,user2,FAIL
2026-01-05 18:26:03,192.168.1.20,user1,SUCCESS
2026-01-05 18:26:11,172.16.0.5,root,FAIL
2026-01-05 18:26:17,172.16.0.5,user2,SUCCESS
2026-01-05 18:26:21,172.16.0.5,user1,SUCCESS
2026-01-05 18:26:28,10.0.0.15,user1,FAIL
2026-01-05 18:26:33,192.168.1.20,test,FAIL
2026-01-05 18:26:37,192.168.1.20,guest,FAIL
